scrape_date,title,price_raw,price_clean,link
2026-04-26,Houses for sale in France,Unknown Price,,https://homestra.com/list/houses-for-sale/france/
2026-04-26,Houses for sale in Italy,Unknown Price,,https://homestra.com/list/houses-for-sale/italy/
2026-04-26,Houses for sale in Spain,Unknown Price,,https://homestra.com/list/houses-for-sale/spain/
2026-04-26,Houses for sale in Norway,Unknown Price,,https://homestra.com/list/houses-for-sale/norway/
2026-04-26,Houses for sale in Portugal,Unknown Price,,https://homestra.com/list/houses-for-sale/portugal/
2026-04-26,Houses for sale in Sweden,Unknown Price,,https://homestra.com/list/houses-for-sale/sweden/
2026-04-26,Houses for sale in Greece,Unknown Price,,https://homestra.com/list/houses-for-sale/greece/
2026-04-26,Houses for sale in Cyprus,Unknown Price,,https://homestra.com/list/houses-for-sale/cyprus/
2026-04-26,Houses for sale in Croatia,Unknown Price,,https://homestra.com/list/houses-for-sale/croatia/
2026-04-26,Houses for sale in Great britain,Unknown Price,,https://homestra.com/list/houses-for-sale/great_britain/
2026-04-26,Houses for sale in France,Unknown Price,,https://homestra.com/list/houses-for-sale/france/
2026-04-26,Houses for sale in Italy,Unknown Price,,https://homestra.com/list/houses-for-sale/italy/
2026-04-26,Houses for sale in Spain,Unknown Price,,https://homestra.com/list/houses-for-sale/spain/
2026-04-26,Houses for sale in Norway,Unknown Price,,https://homestra.com/list/houses-for-sale/norway/
2026-04-26,Houses for sale in Portugal,Unknown Price,,https://homestra.com/list/houses-for-sale/portugal/
2026-04-26,Houses for sale in Sweden,Unknown Price,,https://homestra.com/list/houses-for-sale/sweden/
2026-04-26,Houses for sale in Greece,Unknown Price,,https://homestra.com/list/houses-for-sale/greece/
2026-04-26,Houses for sale in Cyprus,Unknown Price,,https://homestra.com/list/houses-for-sale/cyprus/
2026-04-26,Houses for sale in Croatia,Unknown Price,,https://homestra.com/list/houses-for-sale/croatia/
2026-04-26,Houses for sale in Great britain,Unknown Price,,https://homestra.com/list/houses-for-sale/great_britain/
2026-04-26,Houses for sale in France,Unknown Price,,https://homestra.com/list/houses-for-sale/france/
2026-04-26,Houses for sale in Italy,Unknown Price,,https://homestra.com/list/houses-for-sale/italy/
2026-04-26,Houses for sale in Spain,Unknown Price,,https://homestra.com/list/houses-for-sale/spain/
